position,driver,driver id,constructor,constructor id,laps,time,points,grid
1,Max Verstappen,50,Red Bull,9,72,1:36:42.773,26,1
2,George Russell,847,Mercedes,13.1,72,4.071,18,6
3,Charles Leclerc,844,Ferrari,6,72,10.929,15,2
4,Lewis Hamilton,1,Mercedes,13.1,72,13.016,12,4
5,Sergio P̩rez,815,Red Bull,9,72,18.168,10,5
6,Fernando Alonso,4,Alpine F1 Team,21.4,72,18.754,8,13
7,Lando Norris,846,McLaren,1,72,19.306,6,7
8,Carlos Sainz,832,Ferrari,6,72,20.916,4,3
9,Esteban Ocon,839,Alpine F1 Team,21.4,72,21.117,2,12
10,Lance Stroll,840,Aston Martin,11.7,72,22.459,1,10
11,Pierre Gasly,842,AlphaTauri,21.3,72,27.009,0,11
12,Alexander Albon,23,Williams,3,72,30.390,0,15
13,Mick Schumacher,47,Haas F1 Team,21.0,72,32.995,0,8
14,Sebastian Vettel,20,Aston Martin,11.7,72,36.007,0,19
15,Kevin Magnussen,76,Haas F1 Team,21.0,72,36.869,0,18
16,Guanyu Zhou,24,Alfa Romeo,51,72,37.320,0,14
17,Daniel Ricciardo,817,McLaren,1,72,37.764,0,17
18,Nicholas Latifi,5,Williams,3,71,+1 Lap,0,20
,Valtteri Bottas,77,Alfa Romeo,51,53,Engine,0,16
,Yuki Tsunoda,852,AlphaTauri,21.3,43,Differential,0,9